          team_name           |  season   | matches_played | wins | draws | losses | goals_for | goals_against | goal_difference 
------------------------------+-----------+----------------+------+-------+--------+-----------+---------------+-----------------
 1. FC Kaiserslautern         | 2010/2011 |             34 |   13 |     7 |     14 |        48 |            51 |              -3
 1. FC Kaiserslautern         | 2011/2012 |             34 |    4 |    11 |     19 |        24 |            54 |             -30
 1. FC Köln                   | 2008/2009 |             34 |   11 |     6 |     17 |        35 |            50 |             -15
 1. FC Köln                   | 2009/2010 |             34 |    9 |    11 |     14 |        33 |            42 |              -9
 1. FC Köln                   | 2010/2011 |             34 |   13 |     5 |     16 |        47 |            62 |             -15
 1. FC Köln                   | 2011/2012 |             34 |    8 |     6 |     20 |        39 |            75 |             -36
 1. FC Köln                   | 2014/2015 |             34 |    9 |    13 |     12 |        34 |            40 |              -6
 1. FC Köln                   | 2015/2016 |             34 |   10 |    13 |     11 |        38 |            42 |              -4
 1. FC Nürnberg               | 2009/2010 |             34 |    8 |     7 |     19 |        32 |            58 |             -26
 1. FC Nürnberg               | 2010/2011 |             34 |   13 |     8 |     13 |        47 |            45 |               2
 1. FC Nürnberg               | 2011/2012 |             34 |   12 |     6 |     16 |        38 |            49 |             -11
 1. FC Nürnberg               | 2012/2013 |             34 |   11 |    11 |     12 |        39 |            47 |              -8
 1. FC Nürnberg               | 2013/2014 |             34 |    5 |    11 |     18 |        37 |            70 |             -33
 1. FSV Mainz 05              | 2009/2010 |             34 |   12 |    11 |     11 |        36 |            42 |              -6
 1. FSV Mainz 05              | 2010/2011 |             34 |   18 |     4 |     12 |        52 |            39 |              13
 1. FSV Mainz 05              | 2011/2012 |             34 |    9 |    12 |     13 |        47 |            51 |              -4
 1. FSV Mainz 05              | 2012/2013 |             34 |   10 |    12 |     12 |        42 |            44 |              -2
 1. FSV Mainz 05              | 2013/2014 |             34 |   16 |     5 |     13 |        52 |            54 |              -2
 1. FSV Mainz 05              | 2014/2015 |             34 |    9 |    13 |     12 |        45 |            47 |              -2
 1. FSV Mainz 05              | 2015/2016 |             34 |   14 |     8 |     12 |        46 |            42 |               4
 Aberdeen                     | 2008/2009 |             38 |   14 |    11 |     13 |        41 |            40 |               1
 Aberdeen                     | 2009/2010 |             38 |   10 |    11 |     17 |        36 |            52 |             -16
 Aberdeen                     | 2010/2011 |             38 |   11 |     5 |     22 |        39 |            59 |             -20
 Aberdeen                     | 2011/2012 |             38 |    9 |    14 |     15 |        36 |            44 |              -8
 Aberdeen                     | 2012/2013 |             38 |   11 |    15 |     12 |        41 |            43 |              -2
 Aberdeen                     | 2013/2014 |             38 |   20 |     8 |     10 |        53 |            38 |              15
 Aberdeen                     | 2014/2015 |             38 |   23 |     6 |      9 |        57 |            33 |              24
 Aberdeen                     | 2015/2016 |             38 |   22 |     5 |     11 |        62 |            48 |              14
 AC Ajaccio                   | 2011/2012 |             38 |    9 |    14 |     15 |        40 |            61 |             -21
 AC Ajaccio                   | 2012/2013 |             38 |    9 |    15 |     14 |        39 |            51 |             -12
 AC Ajaccio                   | 2013/2014 |             38 |    4 |    11 |     23 |        37 |            72 |             -35
 AC Arles-Avignon             | 2010/2011 |             38 |    3 |    11 |     24 |        21 |            70 |             -49
 AC Bellinzona                | 2008/2009 |             36 |   11 |    10 |     15 |        44 |            51 |              -7
 AC Bellinzona                | 2009/2010 |             36 |    7 |     4 |     25 |        42 |            92 |             -50
 AC Bellinzona                | 2010/2011 |             36 |    7 |    11 |     18 |        42 |            75 |             -33
 Académica de Coimbra         | 2008/2009 |             30 |   10 |     9 |     11 |        28 |            32 |              -4
 Académica de Coimbra         | 2009/2010 |             30 |    8 |     9 |     13 |        37 |            42 |              -5
 Académica de Coimbra         | 2010/2011 |             30 |    7 |     9 |     14 |        32 |            48 |             -16
 Académica de Coimbra         | 2011/2012 |             30 |    7 |     8 |     15 |        27 |            38 |             -11
 Académica de Coimbra         | 2012/2013 |             30 |    6 |    10 |     14 |        33 |            45 |             -12
 Académica de Coimbra         | 2013/2014 |             30 |    9 |    10 |     11 |        25 |            35 |             -10
 Académica de Coimbra         | 2014/2015 |             34 |    4 |    17 |     13 |        26 |            46 |             -20
 Académica de Coimbra         | 2015/2016 |             34 |    5 |    10 |     19 |        32 |            60 |             -28
 ADO Den Haag                 | 2008/2009 |             34 |    8 |     8 |     18 |        41 |            58 |             -17
 ADO Den Haag                 | 2009/2010 |             34 |    7 |     9 |     18 |        38 |            59 |             -21
 ADO Den Haag                 | 2010/2011 |             34 |   16 |     6 |     12 |        63 |            55 |               8
 ADO Den Haag                 | 2011/2012 |             34 |    8 |     8 |     18 |        38 |            67 |             -29
 ADO Den Haag                 | 2012/2013 |             34 |    9 |    13 |     12 |        49 |            63 |             -14
 ADO Den Haag                 | 2013/2014 |             34 |   12 |     7 |     15 |        45 |            64 |             -19
 ADO Den Haag                 | 2014/2015 |             34 |    9 |    10 |     15 |        44 |            53 |              -9
 ADO Den Haag                 | 2015/2016 |             34 |   10 |    13 |     11 |        48 |            49 |              -1
 AJ Auxerre                   | 2008/2009 |             38 |   16 |     7 |     15 |        35 |            35 |               0
 AJ Auxerre                   | 2009/2010 |             38 |   20 |    11 |      7 |        42 |            29 |              13
 AJ Auxerre                   | 2010/2011 |             38 |   10 |    19 |      9 |        45 |            41 |               4
 AJ Auxerre                   | 2011/2012 |             38 |    7 |    13 |     18 |        46 |            57 |             -11
 Ajax                         | 2008/2009 |             34 |   21 |     5 |      8 |        74 |            41 |              33
 Ajax                         | 2009/2010 |             34 |   27 |     4 |      3 |       106 |            20 |              86
 Ajax                         | 2010/2011 |             34 |   22 |     7 |      5 |        72 |            30 |              42
 Ajax                         | 2011/2012 |             34 |   23 |     7 |      4 |        93 |            36 |              57
 Ajax                         | 2012/2013 |             34 |   22 |    10 |      2 |        83 |            31 |              52
 Ajax                         | 2013/2014 |             34 |   20 |    11 |      3 |        69 |            28 |              41
 Ajax                         | 2014/2015 |             34 |   21 |     8 |      5 |        69 |            29 |              40
 Ajax                         | 2015/2016 |             34 |   25 |     7 |      2 |        81 |            21 |              60
 Amadora                      | 2008/2009 |             30 |    8 |    10 |     12 |        26 |            38 |             -12
 Angers SCO                   | 2015/2016 |             38 |   13 |    11 |     14 |        40 |            38 |               2
 Arka Gdynia                  | 2008/2009 |             30 |    7 |     9 |     14 |        27 |            39 |             -12
 Arka Gdynia                  | 2009/2010 |             30 |    7 |     7 |     16 |        28 |            39 |             -11
 Arka Gdynia                  | 2010/2011 |             30 |    6 |    10 |     14 |        22 |            43 |             -21
 Arsenal                      | 2008/2009 |             38 |   20 |    12 |      6 |        68 |            37 |              31
 Arsenal                      | 2009/2010 |             38 |   23 |     6 |      9 |        83 |            41 |              42
 Arsenal                      | 2010/2011 |             38 |   19 |    11 |      8 |        72 |            43 |              29
 Arsenal                      | 2011/2012 |             38 |   21 |     7 |     10 |        74 |            49 |              25
 Arsenal                      | 2012/2013 |             38 |   21 |    10 |      7 |        72 |            37 |              35
 Arsenal                      | 2013/2014 |             38 |   24 |     7 |      7 |        68 |            41 |              27
 Arsenal                      | 2014/2015 |             38 |   22 |     9 |      7 |        71 |            36 |              35
 Arsenal                      | 2015/2016 |             38 |   20 |    11 |      7 |        65 |            36 |              29
 AS Monaco                    | 2008/2009 |             38 |   11 |    12 |     15 |        41 |            45 |              -4
