 home_win_pct | away_win_pct | draw_pct 
--------------+--------------+----------
        45.87 |        28.74 |    25.39
(1 row)

          team_name           | home_played | home_wins | home_win_pct | away_played | away_wins | away_win_pct | home_advantage_pct 
------------------------------+-------------+-----------+--------------+-------------+-----------+--------------+--------------------
 CD Numancia                  |          19 |         9 |        47.37 |          19 |         1 |         5.26 |              42.11
 Catania                      |         113 |        57 |        50.44 |         111 |        10 |         9.01 |              41.43
 Amadora                      |          15 |         7 |        46.67 |          15 |         1 |         6.67 |              40.00
 CD Tenerife                  |          19 |         8 |        42.11 |          19 |         1 |         5.26 |              36.84
 Royal Excel Mouscron         |          17 |         9 |        52.94 |          17 |         3 |        17.65 |              35.29
 Manchester City              |         152 |       113 |        74.34 |         152 |        62 |        40.79 |              33.55
 SC Bastia                    |          76 |        38 |        50.00 |          76 |        13 |        17.11 |              32.89
 RCD Mallorca                 |          95 |        49 |        51.58 |          95 |        18 |        18.95 |              32.63
 Jagiellonia Białystok        |         120 |        63 |        52.50 |         120 |        24 |        20.00 |              32.50
 Palermo                      |         133 |        67 |        50.38 |         133 |        24 |        18.05 |              32.33
 Villarreal CF                |         133 |        77 |        57.89 |         133 |        35 |        26.32 |              31.58
 SC Cambuur                   |          51 |        20 |        39.22 |          51 |         4 |         7.84 |              31.37
 Tubize                       |          17 |         6 |        35.29 |          17 |         1 |         5.88 |              29.41
 Uniao da Madeira             |          17 |         6 |        35.29 |          17 |         1 |         5.88 |              29.41
 FC Volendam                  |          17 |         6 |        35.29 |          17 |         1 |         5.88 |              29.41
 SC Braga                     |         124 |        81 |        65.32 |         124 |        45 |        36.29 |              29.03
 Valenciennes FC              |         114 |        49 |        42.98 |         114 |        16 |        14.04 |              28.95
 Fulham                       |         114 |        52 |        45.61 |         114 |        19 |        16.67 |              28.95
 KV Kortrijk                  |         106 |        56 |        52.83 |         106 |        26 |        24.53 |              28.30
 Sevilla FC                   |         152 |        91 |        59.87 |         152 |        48 |        31.58 |              28.29
 Genoa                        |         151 |        74 |        49.01 |         151 |        32 |        21.19 |              27.81
 FC Sochaux-Montbéliard       |         114 |        50 |        43.86 |         114 |        19 |        16.67 |              27.19
 Arka Gdynia                  |          45 |        16 |        35.56 |          45 |         4 |         8.89 |              26.67
 Górnik Łęczna                |          30 |        12 |        40.00 |          30 |         4 |        13.33 |              26.67
 Sparta Rotterdam             |          34 |        12 |        35.29 |          34 |         3 |         8.82 |              26.47
 Manchester United            |         152 |       116 |        76.32 |         152 |        76 |        50.00 |              26.32
 Hércules Club de Fútbol      |          19 |         7 |        36.84 |          19 |         2 |        10.53 |              26.32
 Real Sociedad                |         114 |        57 |        50.00 |         114 |        27 |        23.68 |              26.32
 Stoke City                   |         152 |        69 |        45.39 |         152 |        29 |        19.08 |              26.32
 Beerschot AC                 |          76 |        30 |        39.47 |          76 |        10 |        13.16 |              26.32
 FC Metz                      |          19 |         6 |        31.58 |          19 |         1 |         5.26 |              26.32
 Brescia                      |          19 |         6 |        31.58 |          19 |         1 |         5.26 |              26.32
 Udinese                      |         151 |        77 |        50.99 |         151 |        38 |        25.17 |              25.83
 FC Groningen                 |         136 |        72 |        52.94 |         136 |        37 |        27.21 |              25.74
 Atlético Madrid              |         152 |       103 |        67.76 |         152 |        64 |        42.11 |              25.66
 LOSC Lille                   |         152 |        93 |        61.18 |         152 |        54 |        35.53 |              25.66
 Club Brugge KV               |         106 |        75 |        70.75 |         106 |        48 |        45.28 |              25.47
 CA Osasuna                   |         114 |        48 |        42.11 |         114 |        19 |        16.67 |              25.44
 FC Sion                      |         143 |        70 |        48.95 |         143 |        34 |        23.78 |              25.17
