 player_id |        player_name         | team_id |         team_name         |  season   | player_goals | team_total_goals | share_pct 
-----------+----------------------------+---------+---------------------------+-----------+--------------+------------------+-----------
     46700 | Papiss Cisse               |    8358 | SC Freiburg               | 2010/2011 |           24 |               41 |      58.5
     96652 | Ruben Castro               |    8603 | Real Betis Balompié       | 2015/2016 |           21 |               37 |      56.8
     32749 | Marco Di Vaio              |    9857 | Bologna                   | 2008/2009 |           24 |               43 |      55.8
     32749 | Marco Di Vaio              |    9857 | Bologna                   | 2010/2011 |           22 |               41 |      53.7
     27734 | Antonio Di Natale          |    8600 | Udinese                   | 2009/2010 |           29 |               55 |      52.7
     23949 | Darren Bent                |    8472 | Sunderland                | 2009/2010 |           28 |               54 |      51.9
     26392 | Kevin Gameiro              |    8689 | FC Lorient                | 2010/2011 |           16 |               32 |      50.0
     30266 | Artur Wichniarek           |    9912 | DSC Arminia Bielefeld     | 2008/2009 |           14 |               28 |      50.0
     38601 | Theofanis Gekas            |    9810 | Eintracht Frankfurt       | 2010/2011 |           16 |               33 |      48.5
     30549 | Diego Milito               |   10233 | Genoa                     | 2008/2009 |           27 |               56 |      48.2
     49677 | Edinson Cavani             |    9875 | Napoli                    | 2010/2011 |           29 |               62 |      46.8
    288349 | Christian Santos           |    8464 | N.E.C.                    | 2015/2016 |           18 |               39 |      46.2
     92666 | Stevan Jovetic             |    8535 | Fiorentina                | 2011/2012 |           15 |               33 |      45.5
     39311 | Adrian Mutu                |    9880 | Cesena                    | 2011/2012 |           10 |               22 |      45.5
     27734 | Antonio Di Natale          |    8600 | Udinese                   | 2011/2012 |           24 |               53 |      45.3
     25759 | Gonzalo Higuain            |    9875 | Napoli                    | 2015/2016 |           36 |               80 |      45.0
     30981 | Lionel Messi               |    8634 | FC Barcelona              | 2011/2012 |           52 |              116 |      44.8
     36084 | Vedad Ibisevic             |   10269 | VfB Stuttgart             | 2012/2013 |           17 |               38 |      44.7
     22543 | Radamel Falcao             |    9906 | Atlético Madrid           | 2011/2012 |           25 |               56 |      44.6
     38848 | Milivoje Novakovic         |    8722 | 1. FC Köln                | 2008/2009 |           16 |               36 |      44.4
     75310 | Alvaro Negredo             |    9865 | UD Almería                | 2008/2009 |           19 |               43 |      44.2
    187266 | Charlie Austin             |   10172 | Queens Park Rangers       | 2014/2015 |           21 |               48 |      43.8
     35421 | German Denis               |    8524 | Atalanta                  | 2011/2012 |           17 |               39 |      43.6
     35724 | Zlatan Ibrahimovic         |    9847 | Paris Saint-Germain       | 2012/2013 |           30 |               69 |      43.5
     27664 | Andrea Caracciolo          |    9858 | Brescia                   | 2010/2011 |           13 |               30 |      43.3
     75310 | Alvaro Negredo             |    8302 | Sevilla FC                | 2012/2013 |           25 |               58 |      43.1
     22543 | Radamel Falcao             |    9906 | Atlético Madrid           | 2012/2013 |           28 |               65 |      43.1
     32118 | Lukas Podolski             |    8722 | 1. FC Köln                | 2011/2012 |           18 |               42 |      42.9
     30709 | Luca Toni                  |    9876 | Hellas Verona             | 2014/2015 |           24 |               56 |      42.9
    194533 | Josip Drmic                |    8165 | 1. FC Nürnberg            | 2013/2014 |           17 |               40 |      42.5
    148315 | Christian Benteke          |   10252 | Aston Villa               | 2014/2015 |           14 |               33 |      42.4
     27734 | Antonio Di Natale          |    8600 | Udinese                   | 2010/2011 |           30 |               71 |      42.3
     30893 | Cristiano Ronaldo          |    8633 | Real Madrid CF            | 2014/2015 |           51 |              122 |      41.8
     30549 | Diego Milito               |    8636 | Inter                     | 2011/2012 |           25 |               60 |      41.7
     50345 | Adrian Ramos               |    8177 | Hertha BSC Berlin         | 2013/2014 |           17 |               41 |      41.5
     71602 | Claudio Beauvue            |    9747 | En Avant de Guingamp      | 2014/2015 |           17 |               41 |      41.5
     71605 | Anthony Modeste            |    8722 | 1. FC Köln                | 2015/2016 |           16 |               39 |      41.0
     33028 | Aritz Aduriz               |    8315 | Athletic Club de Bilbao   | 2014/2015 |           18 |               44 |      40.9
    261599 | Adnane Tighadouini         |    9761 | NAC Breda                 | 2014/2015 |            9 |               22 |      40.9
    194660 | Lucas Perez                |    9783 | RC Deportivo de La Coruña | 2015/2016 |           18 |               44 |      40.9
    210184 | Wissam Ben Yedder          |    9941 | Toulouse FC               | 2015/2016 |           20 |               49 |      40.8
     30991 | Rodrigo Palacio            |   10233 | Genoa                     | 2011/2012 |           20 |               49 |      40.8
     30981 | Lionel Messi               |    8634 | FC Barcelona              | 2012/2013 |           46 |              114 |      40.4
     27734 | Antonio Di Natale          |    8600 | Udinese                   | 2012/2013 |           25 |               62 |      40.3
     49677 | Edinson Cavani             |    9875 | Napoli                    | 2012/2013 |           31 |               77 |      40.3
     30881 | Alberto Gilardino          |   10233 | Genoa                     | 2013/2014 |           18 |               45 |      40.0
     30981 | Lionel Messi               |    8634 | FC Barcelona              | 2014/2015 |           46 |              116 |      39.7
     30956 | Clint Dempsey              |    9879 | Fulham                    | 2011/2012 |           19 |               48 |      39.6
     18576 | Lucas Barrios              |    9789 | Borussia Dortmund         | 2009/2010 |           21 |               53 |      39.6
     36784 | Klaas Jan Huntelaar        |   10189 | FC Schalke 04             | 2011/2012 |           30 |               76 |      39.5
     37653 | Oriol Riera                |    8371 | CA Osasuna                | 2013/2014 |           13 |               33 |      39.4
    289472 | Munas Dabbur               |    9956 | Grasshopper Club Zürich   | 2015/2016 |            9 |               23 |      39.1
     38460 | Diego Forlan               |    9906 | Atlético Madrid           | 2008/2009 |           32 |               82 |      39.0
     30909 | David Villa                |   10267 | Valencia CF               | 2008/2009 |           30 |               77 |      39.0
     30843 | Robin van Persie           |    9825 | Arsenal                   | 2011/2012 |           31 |               80 |      38.8
     24549 | Giampaolo Pazzini          |    9882 | Sampdoria                 | 2009/2010 |           19 |               49 |      38.8
    194165 | Harry Kane                 |    8586 | Tottenham Hotspur         | 2014/2015 |           24 |               62 |      38.7
     35724 | Zlatan Ibrahimovic         |    8564 | Milan                     | 2011/2012 |           27 |               70 |      38.6
     36889 | Sandro Wagner              |    8262 | SV Darmstadt 98           | 2015/2016 |           17 |               44 |      38.6
    160906 | Tom van Weert              |   10218 | Excelsior                 | 2014/2015 |           10 |               26 |      38.5
     30893 | Cristiano Ronaldo          |    8633 | Real Madrid CF            | 2010/2011 |           40 |              104 |      38.5
    150565 | Pierre-Emerick Aubameyang  |    9789 | Borussia Dortmund         | 2014/2015 |           20 |               52 |      38.5
    161660 | Ciro Immobile              |    9804 | Torino                    | 2013/2014 |           23 |               60 |      38.3
     27734 | Antonio Di Natale          |    8600 | Udinese                   | 2013/2014 |           18 |               47 |      38.3
     93447 | Robert Lewandowski         |    9823 | FC Bayern Munich          | 2015/2016 |           31 |               81 |      38.3
     30893 | Cristiano Ronaldo          |    8633 | Real Madrid CF            | 2011/2012 |           47 |              123 |      38.2
    101419 | Odion Ighalo               |    9817 | Watford                   | 2015/2016 |           16 |               42 |      38.1
     37489 | Nino                       |    9867 | CD Tenerife               | 2009/2010 |           16 |               42 |      38.1
     35724 | Zlatan Ibrahimovic         |    9847 | Paris Saint-Germain       | 2015/2016 |           41 |              108 |      38.0
     25366 | Claudio Pizarro            |    8697 | SV Werder Bremen          | 2011/2012 |           19 |               50 |      38.0
     35724 | Zlatan Ibrahimovic         |    8636 | Inter                     | 2008/2009 |           25 |               66 |      37.9
    169193 | Alexandre Lacazette        |    9748 | Olympique Lyonnais        | 2014/2015 |           28 |               74 |      37.8
     40958 | Helder Postiga             |    8394 | Real Zaragoza             | 2012/2013 |           14 |               37 |      37.8
     19243 | Diego Costa                |    9906 | Atlético Madrid           | 2013/2014 |           31 |               82 |      37.8
     31906 | Salomon Kalou              |    8639 | LOSC Lille                | 2013/2014 |           17 |               45 |      37.8
     24448 | Sergio Pellissier          |    8533 | Chievo Verona             | 2008/2009 |           14 |               37 |      37.8
    467022 | Vincent Janssen            |   10229 | AZ                        | 2015/2016 |           28 |               74 |      37.8
    148315 | Christian Benteke          |   10252 | Aston Villa               | 2012/2013 |           20 |               53 |      37.7
     27613 | Paulinho                   |    8537 | Livorno                   | 2013/2014 |           15 |               40 |      37.5
     27326 | Mario Gomez                |   10269 | VfB Stuttgart             | 2008/2009 |           24 |               64 |      37.5
     38848 | Milivoje Novakovic         |    8722 | 1. FC Köln                | 2010/2011 |           18 |               48 |      37.5
     27478 | Alexander Meier            |    9810 | Eintracht Frankfurt       | 2015/2016 |           12 |               32 |      37.5
     46808 | Javi Guerra                |   10281 | Real Valladolid           | 2013/2014 |           15 |               40 |      37.5
    239807 | Saido Berahino             |    8659 | West Bromwich Albion      | 2014/2015 |           15 |               40 |      37.5
    282770 | Mauro Icardi               |    8636 | Inter                     | 2014/2015 |           24 |               64 |      37.5
     30881 | Alberto Gilardino          |    8535 | Fiorentina                | 2008/2009 |           21 |               56 |      37.5
     35421 | German Denis               |    8524 | Atalanta                  | 2012/2013 |           15 |               40 |      37.5
     49677 | Edinson Cavani             |    9875 | Napoli                    | 2011/2012 |           25 |               67 |      37.3
    118528 | Michu                      |   10003 | Swansea City              | 2012/2013 |           19 |               51 |      37.3
    161291 | Youssef El Arabi           |    7878 | Granada CF                | 2013/2014 |           13 |               35 |      37.1
     33028 | Aritz Aduriz               |    8315 | Athletic Club de Bilbao   | 2015/2016 |           23 |               62 |      37.1
     25337 | Cristiano Lucarelli        |    8537 | Livorno                   | 2009/2010 |           10 |               27 |      37.0
     37506 | Roberto Soldado            |   10267 | Valencia CF               | 2012/2013 |           24 |               65 |      36.9
     41168 | Alberto Bueno              |    8370 | Rayo Vallecano            | 2014/2015 |           18 |               49 |      36.7
    129944 | Marco Reus                 |    9788 | Borussia Mönchengladbach  | 2011/2012 |           18 |               49 |      36.7
     27326 | Mario Gomez                |    9823 | FC Bayern Munich          | 2010/2011 |           30 |               82 |      36.6
    194165 | Harry Kane                 |    8586 | Tottenham Hotspur         | 2015/2016 |           26 |               71 |      36.6
    128732 | Jonathas                   |   10268 | Elche CF                  | 2014/2015 |           15 |               41 |      36.6
     35831 | Albert Bunjaku             |    8165 | 1. FC Nürnberg            | 2009/2010 |           12 |               33 |      36.4
    210184 | Wissam Ben Yedder          |    9941 | Toulouse FC               | 2013/2014 |           17 |               47 |      36.2
    241825 | Francisco Alcacer          |   10267 | Valencia CF               | 2015/2016 |           17 |               47 |      36.2
    109121 | Alberto Paloschi           |    8533 | Chievo Verona             | 2013/2014 |           13 |               36 |      36.1
     30728 | David Trezeguet            |   10278 | Hércules Club de Fútbol   | 2010/2011 |           13 |               36 |      36.1
     27478 | Alexander Meier            |    9810 | Eintracht Frankfurt       | 2014/2015 |           20 |               56 |      35.7
     31199 | Stefan Kiessling           |    8178 | Bayer 04 Leverkusen       | 2012/2013 |           25 |               70 |      35.7
