          team_name           | match_date | points | rolling_5_match_points 
------------------------------+------------+--------+------------------------
 1. FC Kaiserslautern         | 2010-08-21 |      3 |                      3
 1. FC Kaiserslautern         | 2010-08-27 |      3 |                      6
 1. FC Kaiserslautern         | 2010-09-12 |      0 |                      6
 1. FC Kaiserslautern         | 2010-09-18 |      1 |                      7
 1. FC Kaiserslautern         | 2010-09-22 |      0 |                      7
 1. FC Kaiserslautern         | 2010-09-26 |      0 |                      4
 1. FC Kaiserslautern         | 2010-10-02 |      0 |                      1
 1. FC Kaiserslautern         | 2010-10-17 |      0 |                      1
 1. FC Kaiserslautern         | 2010-10-23 |      0 |                      0
 1. FC Kaiserslautern         | 2010-10-30 |      3 |                      3
 1. FC Kaiserslautern         | 2010-11-07 |      0 |                      3
 1. FC Kaiserslautern         | 2010-11-13 |      1 |                      4
 1. FC Kaiserslautern         | 2010-11-20 |      3 |                      7
 1. FC Kaiserslautern         | 2010-11-27 |      3 |                     10
 1. FC Kaiserslautern         | 2010-12-03 |      0 |                      7
 1. FC Kaiserslautern         | 2010-12-11 |      1 |                      8
 1. FC Kaiserslautern         | 2010-12-18 |      3 |                     10
 1. FC Kaiserslautern         | 2011-01-16 |      1 |                      8
 1. FC Kaiserslautern         | 2011-01-22 |      0 |                      5
 1. FC Kaiserslautern         | 2011-01-29 |      0 |                      5
 1. FC Kaiserslautern         | 2011-02-05 |      0 |                      4
 1. FC Kaiserslautern         | 2011-02-12 |      1 |                      2
 1. FC Kaiserslautern         | 2011-02-19 |      0 |                      1
 1. FC Kaiserslautern         | 2011-02-26 |      1 |                      2
 1. FC Kaiserslautern         | 2011-03-05 |      1 |                      3
 1. FC Kaiserslautern         | 2011-03-12 |      3 |                      6
 1. FC Kaiserslautern         | 2011-03-18 |      3 |                      8
 1. FC Kaiserslautern         | 2011-04-02 |      0 |                      8
 1. FC Kaiserslautern         | 2011-04-09 |      3 |                     10
 1. FC Kaiserslautern         | 2011-04-16 |      0 |                      9
 1. FC Kaiserslautern         | 2011-04-23 |      3 |                      9
 1. FC Kaiserslautern         | 2011-04-29 |      3 |                      9
 1. FC Kaiserslautern         | 2011-05-07 |      3 |                     12
 1. FC Kaiserslautern         | 2011-05-14 |      3 |                     12
 1. FC Kaiserslautern         | 2011-08-06 |      0 |                     12
 1. FC Kaiserslautern         | 2011-08-14 |      1 |                     10
